Date,AAPL
2022-09-02 0:00:00,155.8099976
2022-09-01 0:00:00,157.9600067
2022-08-31 0:00:00,157.2200012
2022-08-30 0:00:00,158.9100037
2022-08-29 0:00:00,161.3800049
2022-08-26 0:00:00,163.6199951
2022-08-25 0:00:00,170.0299988
2022-08-24 0:00:00,167.5299988
2022-08-23 0:00:00,167.2299957
2022-08-22 0:00:00,167.5700073
2022-08-19 0:00:00,171.5200043
2022-08-18 0:00:00,174.1499939
2022-08-17 0:00:00,174.5500031
2022-08-16 0:00:00,173.0299988
2022-08-15 0:00:00,173.1900024
2022-08-12 0:00:00,172.1000061
2022-08-11 0:00:00,168.4900055
2022-08-10 0:00:00,169.2400055
2022-08-09 0:00:00,164.9199982
2022-08-08 0:00:00,164.8699951
2022-08-05 0:00:00,165.3500061
2022-08-04 0:00:00,165.8099976
2022-08-03 0:00:00,166.1300049
2022-08-02 0:00:00,160.0099945
2022-08-01 0:00:00,161.5099945
2022-07-29 0:00:00,162.5099945
2022-07-28 0:00:00,157.3500061
2022-07-27 0:00:00,156.7899933
2022-07-26 0:00:00,151.6000061
2022-07-25 0:00:00,152.9499969
2022-07-22 0:00:00,154.0899963
2022-07-21 0:00:00,155.3500061
2022-07-20 0:00:00,153.0399933
2022-07-19 0:00:00,151
2022-07-18 0:00:00,147.0700073
2022-07-15 0:00:00,150.1699982
2022-07-14 0:00:00,148.4700012
2022-07-13 0:00:00,145.4900055
2022-07-12 0:00:00,145.8600006
2022-07-11 0:00:00,144.8699951
2022-07-08 0:00:00,147.0399933
2022-07-07 0:00:00,146.3500061
2022-07-06 0:00:00,142.9199982
2022-07-05 0:00:00,141.5599976
2022-07-01 0:00:00,138.9299927
2022-06-30 0:00:00,136.7200012
2022-06-29 0:00:00,139.2299957
2022-06-28 0:00:00,137.4400024
2022-06-27 0:00:00,141.6600037
2022-06-24 0:00:00,141.6600037
2022-06-23 0:00:00,138.2700043
2022-06-22 0:00:00,135.3500061
2022-06-21 0:00:00,135.8699951
2022-06-17 0:00:00,131.5599976
2022-06-16 0:00:00,130.0599976
2022-06-15 0:00:00,135.4299927
2022-06-14 0:00:00,132.7599945
2022-06-13 0:00:00,131.8800049
2022-06-10 0:00:00,137.1300049
2022-06-09 0:00:00,142.6399994
2022-06-08 0:00:00,147.9600067
2022-06-07 0:00:00,148.7100067
2022-06-06 0:00:00,146.1399994
2022-06-03 0:00:00,145.3800049
2022-06-02 0:00:00,151.2100067
2022-06-01 0:00:00,148.7100067
2022-05-31 0:00:00,148.8399963
2022-05-27 0:00:00,149.6399994
2022-05-26 0:00:00,143.7799988
2022-05-25 0:00:00,140.5200043
2022-05-24 0:00:00,140.3600006
2022-05-23 0:00:00,143.1100006
2022-05-20 0:00:00,137.5899963
2022-05-19 0:00:00,137.3500061
2022-05-18 0:00:00,140.8200073
2022-05-17 0:00:00,149.2400055
2022-05-16 0:00:00,145.5399933
2022-05-13 0:00:00,147.1100006
2022-05-12 0:00:00,142.5599976
2022-05-11 0:00:00,146.5
2022-05-10 0:00:00,154.5099945
2022-05-09 0:00:00,152.0599976
2022-05-06 0:00:00,157.2799988
2022-05-05 0:00:00,156.7700043
2022-05-04 0:00:00,166.0200043
2022-05-03 0:00:00,159.4799957
2022-05-02 0:00:00,157.9600067
2022-04-29 0:00:00,157.6499939
2022-04-28 0:00:00,163.6399994
2022-04-27 0:00:00,156.5700073
2022-04-26 0:00:00,156.8000031
2022-04-25 0:00:00,162.8800049
2022-04-22 0:00:00,161.7899933
2022-04-21 0:00:00,166.4199982
2022-04-20 0:00:00,167.2299957
2022-04-19 0:00:00,167.3999939
2022-04-18 0:00:00,165.0700073
2022-04-14 0:00:00,165.2899933
2022-04-13 0:00:00,170.3999939
2022-04-12 0:00:00,167.6600037
2022-04-11 0:00:00,165.75
2022-04-08 0:00:00,170.0899963
2022-04-07 0:00:00,172.1399994
2022-04-06 0:00:00,171.8300018
2022-04-05 0:00:00,175.0599976
2022-04-04 0:00:00,178.4400024
2022-04-01 0:00:00,174.3099976
2022-03-31 0:00:00,174.6100006
2022-03-30 0:00:00,177.7700043
2022-03-29 0:00:00,178.9600067
2022-03-28 0:00:00,175.6000061
2022-03-25 0:00:00,174.7200012
2022-03-24 0:00:00,174.0700073
2022-03-23 0:00:00,170.2100067
2022-03-22 0:00:00,168.8200073
2022-03-21 0:00:00,165.3800049
2022-03-18 0:00:00,163.9799957
2022-03-17 0:00:00,160.6199951
2022-03-16 0:00:00,159.5899963
2022-03-15 0:00:00,155.0899963
2022-03-14 0:00:00,150.6199951
2022-03-11 0:00:00,154.7299957
2022-03-10 0:00:00,158.5200043
2022-03-09 0:00:00,162.9499969
2022-03-08 0:00:00,157.4400024
2022-03-07 0:00:00,159.3000031
2022-03-04 0:00:00,163.1699982
2022-03-03 0:00:00,166.2299957
2022-03-02 0:00:00,166.5599976
2022-03-01 0:00:00,163.1999969
